"","player_name","teamName","overs","maidens","runs_given","wickets","economy","innings_number","opposition","match_format","venue","date","city","batting_position"
"124","L Sivaramakrishnan",NA,"49.1","17","99","6","2.01","2","England","Test","Delhi","1984-12-12","",""
"125","DR Doshi",NA,"47.1","17","102","6","2.16","1","England","Test","Manchester","1982-06-24","",""
"126","Harbhajan Singh",NA,"40.3","8","102","6","2.51","2","Sri Lanka","Test","Galle","2008-07-31","",""
"127","DR Doshi",NA,"43.0","10","103","6","2.39","1","Australia","Test","Chennai","1979-09-11","",""
"128","EAS Prasanna",NA,"33.4","9","104","6","2.32","3","Australia","Test","Brisbane","1968-01-19","",""
"129","BKV Prasad",NA,"35.0","6","104","6","2.97","1","South Africa","Test","Kolkata","1996-11-27","",""
"130","RG Nadkarni",NA,"51.0","11","105","6","2.05","2","Australia","Test","Mumbai (BS)","1960-01-01","",""
"131","SA Durani",NA,"36.0","9","105","6","2.91","2","England","Test","Chennai","1962-01-10","",""
"132","R Ashwin",NA,"44.0","4","112","6","2.54","1","England","Test","Mumbai","2016-12-08","",""
"133","L Sivaramakrishnan",NA,"46.0","10","117","6","2.54","3","England","Test","Mumbai","1984-11-28","",""
"134","BS Chandrasekhar",NA,"32.2","8","120","6","3.71","1","West Indies","Test","Port of Spain","1976-04-07","",""
"135","BS Bedi",NA,"47.3","11","127","6","2.67","1","New Zealand","Test","Christchurch","1968-02-22","",""
"136","A Kumble",NA,"54.0","13","131","6","2.42","1","South Africa","Test","Kanpur","2004-11-20","",""
"137","M Prabhakar",NA,"42.3","4","132","6","3.10","2","Pakistan","Test","Faisalabad","1989-11-23","",""
"138","R Ashwin",NA,"35.3","5","132","6","3.71","4","New Zealand","Test","Kanpur","2016-09-22","",""
"139","A Kumble",NA,"47.0","8","133","6","2.82","3","Australia","Test","Chennai","2004-10-14","",""
"140","I Sharma",NA,"33.4","4","134","6","3.98","1","New Zealand","Test","Auckland","2014-02-06","",""
"141","RA Jadeja",NA,"58.2","15","138","6","2.36","2","South Africa","Test","Durban","2013-12-26","",""
"142","EAS Prasanna",NA,"34.0","6","141","6","3.11","2","Australia","Test","Melbourne","1967-12-30","",""
"143","A Kumble",NA,"68.4","15","143","6","2.08","2","South Africa","Test","Bengaluru","2000-03-02","",""
"144","Harbhajan Singh",NA,"51.5","9","152","6","2.93","1","Pakistan","Test","Bengaluru","2005-03-24","",""
"145","A Kumble",NA,"51.0","8","176","6","3.45","2","Australia","Test","Melbourne","2003-12-26","",""
"146","BS Bedi",NA,"64.2","8","226","6","3.51","1","England","Test","Lord's","1974-06-20","",""
"147","SB Joshi",NA,"10.0","6","6","5","0.60","1","South Africa","ODI","Nairobi (Gym)","1999-09-26","",""
"148","Harbhajan Singh",NA,"4.3","0","13","5","2.88","2","West Indies","Test","Kingston","2006-06-30","",""
"149","RJ Shastri",NA,"6.5","1","15","5","2.19","2","Australia","ODI","Perth","1991-12-08","",""
"150","SC Ganguly",NA,"10.0","3","16","5","1.60","2","Pakistan","ODI","Toronto","1997-09-18","",""
"151","SP Gupte",NA,"6.0","0","18","5","3.00","3","Pakistan","Test","Dhaka","1955-01-01","",""
"152","A Mishra",NA,"6.0","2","18","5","3.00","2","New Zealand","ODI","Visakhapatnam","2016-10-29","",""
"153","Arshad Ayub",NA,"9.0","0","21","5","2.33","1","Pakistan","ODI","Dhaka","1988-10-31","",""
"154","N Chopra",NA,"6.2","2","21","5","3.31","2","West Indies","ODI","Toronto","1999-09-14","",""
"155","RA Jadeja",NA,"11.5","4","21","5","1.77","4","South Africa","Test","Mohali","2015-11-05","",""
"156","RR Singh",NA,"5.0","0","22","5","4.40","1","Sri Lanka","ODI","Guwahati","1997-12-22","",""
"157","YS Chahal",NA,"8.2","1","22","5","2.64","1","South Africa","ODI","Centurion","2018-02-04","",""
"158","S Madan Lal",NA,"12.0","6","23","5","1.91","4","England","Test","Mumbai","1981-11-27","",""
"159","J Srinath",NA,"10.0","4","23","5","2.30","1","Bangladesh","ODI","Dhaka","1998-01-10","",""
"160","J Srinath",NA,"6.4","1","24","5","3.60","1","Sri Lanka","ODI","Kanpur","1993-11-07","",""
"161","B Kumar",NA,"4.0","0","24","5","6.00","2","South Africa","T20I","Johannesburg","2018-02-18","",""
"162","Kuldeep Yadav",NA,"4.0","0","24","5","6.00","1","England","T20I","Manchester","2018-07-03","",""
"163","SK Sharma",NA,"7.3","0","26","5","3.46","2","West Indies","ODI","Sharjah","1988-10-16","",""
"164","BS Bedi",NA,"33.0","18","27","5","0.81","4","New Zealand","Test","Mumbai","1976-11-10","",""
"165","K Srikkanth",NA,"7.0","0","27","5","3.85","1","New Zealand","ODI","Visakhapatnam","1988-12-10","",""
"166","BKV Prasad",NA,"9.3","2","27","5","2.84","2","Pakistan","ODI","Manchester","1999-06-08","",""
"167","IK Pathan",NA,"10.0","3","27","5","2.70","2","Zimbabwe","ODI","Harare","2005-08-29","",""
"168","JJ Bumrah",NA,"10.0","2","27","5","2.70","1","Sri Lanka","ODI","Pallekele","2017-08-27","",""
"169","N Kapil Dev",NA,"16.4","4","28","5","1.68","4","Australia","Test","Melbourne","1981-02-07","",""
"170","Mohammed Shami",NA,"12.3","2","28","5","2.24","4","South Africa","Test","Johannesburg","2018-01-24","",""
"171","HH Pandya",NA,"6.0","1","28","5","4.66","2","England","Test","Nottingham","2018-08-18","",""
"172","Z Khan",NA,"13.2","4","29","5","2.17","2","New Zealand","Test","Hamilton","2002-12-19","",""
"173","Harbhajan Singh",NA,"10.5","2","29","5","2.67","4","Australia","Test","Mumbai","2004-11-03","",""
"174","A Kumble",NA,"23.3","10","30","5","1.27","1","West Indies","Test","Chennai","2002-10-17","",""
"175","RA Jadeja",NA,"12.0","2","30","5","2.50","2","South Africa","Test","Delhi","2015-12-03","",""
"176","RG Nadkarni",NA,"18.0","6","31","5","1.72","1","Australia","Test","Chennai","1964-10-02","",""
"177","RR Singh",NA,"9.3","0","31","5","3.26","2","Sri Lanka","ODI","Taunton","1999-05-26","",""
"178","Harbhajan Singh",NA,"10.0","2","31","5","3.10","2","England","ODI","Delhi","2006-03-28","",""
"179","Yuvraj Singh",NA,"10.0","0","31","5","3.10","1","Ireland","ODI","Bengaluru","2011-03-06","",""
"180","EAS Prasanna",NA,"18.2","6","32","5","1.74","1","New Zealand","Test","Wellington","1968-02-29","",""
"181","K Srikkanth",NA,"6.0","0","32","5","5.33","2","New Zealand","ODI","Indore","1988-12-15","",""
"182","SR Tendulkar",NA,"10.0","1","32","5","3.20","2","Australia","ODI","Kochi","1998-04-01","",""
"183","IK Pathan",NA,"9.0","2","32","5","3.55","3","Bangladesh","Test","Chittagong","2004-12-17","",""
"184","R Ashwin",NA,"16.1","6","32","5","1.97","2","South Africa","Test","Nagpur","2015-11-25","",""
"185","KD Ghavri",NA,"15.0","6","33","5","2.20","4","England","Test","Mumbai","1977-02-11","",""
"186","A Kumble",NA,"10.0","0","33","5","3.30","2","New Zealand","ODI","Wellington","1994-03-30","",""
"187","M Prabhakar",NA,"10.0","0","33","5","3.30","1","New Zealand","ODI","Amritsar","1995-11-18","",""
"188","B Kumar",NA,"23.4","10","33","5","1.39","2","West Indies","Test","Gros Islet","2016-08-09","",""
"189","SC Ganguly",NA,"10.0","1","34","5","3.40","1","Zimbabwe","ODI","Kanpur","2000-12-11","",""
"190","Z Khan",NA,"10.0","1","34","5","3.40","2","Bangladesh","Test","Dhaka","2007-05-25","",""
"191","M Prabhakar",NA,"10.0","0","35","5","3.50","1","Sri Lanka","ODI","Hyderabad (Deccan)","1994-02-18","",""
"192","RA Jadeja",NA,"10.0","2","36","5","3.60","1","West Indies","ODI","The Oval","2013-06-11","",""
"193","BS Bedi",NA,"23.0","11","37","5","1.60","3","Australia","Test","Delhi","1969-11-28","",""
"194","SLV Raju",NA,"23.5","7","38","5","1.59","1","Sri Lanka","Test","Ahmedabad","1994-02-08","",""
"195","DR Doshi",NA,"29.1","12","39","5","1.33","2","England","Test","Mumbai","1981-11-27","",""
"196","RMH Binny",NA,"13.0","1","40","5","3.07","2","England","Test","Leeds","1986-06-19","",""
"197","S Sreesanth",NA,"10.0","3","40","5","4.00","2","South Africa","Test","Johannesburg","2006-12-15","",""
"198","PP Ojha",NA,"11.2","2","40","5","3.52","1","West Indies","Test","Mumbai","2013-11-14","",""
"199","J Srinath",NA,"9.0","1","41","5","4.55","1","England","ODI","Bengaluru","1993-02-26","",""
"200","EAS Prasanna",NA,"24.2","10","42","5","1.72","3","Australia","Test","Delhi","1969-11-28","",""
"201","Z Khan",NA,"10.0","0","42","5","4.20","1","Sri Lanka","ODI","Margao","2007-02-14","",""
"202","R Ashwin",NA,"16.0","6","42","5","2.62","4","Sri Lanka","Test","Colombo (PSS)","2015-08-20","",""
"203","B Kumar",NA,"9.4","0","42","5","4.34","1","Sri Lanka","ODI","Colombo (RPS)","2017-09-03","",""
"204","DR Doshi",NA,"19.5","4","43","5","2.16","2","Australia","Test","Mumbai","1979-11-03","",""
"205","N Kapil Dev",NA,"12.0","2","43","5","3.58","1","Australia","ODI","Nottingham","1983-06-13","",""
