"","player_name","teamName","runs","balls_faced","4s","6s","strike_rate","innings_number","opposition","match_format","venue","date","city","batting_position"
"116","V Kohli",NA,"167","267","18","0","62.54","1","England","Test","Visakhapatnam","2016-11-17","",""
"117","SM Gavaskar",NA,"166","416","16","0","39.90","2","Australia","Test","Adelaide","1985-12-13","",""
"118","SM Gavaskar",NA,"166","373","15","1","44.50","2","Pakistan","Test","Chennai","1980-01-15","",""
"119","DB Vengsarkar",NA,"166","279","14","0","59.49","1","Sri Lanka","Test","Cuttack","1987-01-04","",""
"120","SR Tendulkar",NA,"165","296","24","1","55.74","1","England","Test","Chennai","1993-02-11","",""
"121","V Sehwag",NA,"165","174","23","2","94.82","2","South Africa","Test","Kolkata","2010-02-14","",""
"122","VS Hazare",NA,"164","-","-","0","-","2","England","Test","Delhi","1951-11-02","",""
"123","DB Vengsarkar",NA,"164","303","21","1","54.12","2","Australia","Test","Mumbai","1986-10-15","",""
"124","V Sehwag",NA,"164","228","24","2","71.92","2","South Africa","Test","Kanpur","2004-11-20","",""
"125","ML Apte",NA,"163","-","-","0","-","3","West Indies","Test","Port of Spain","1953-02-19","",""
"126","M Azharuddin",NA,"163","229","25","1","71.17","3","South Africa","Test","Kanpur","1996-12-08","",""
"127","M Azharuddin",NA,"163","246","18","3","66.26","2","Australia","Test","Kolkata","1998-03-18","",""
"128","SR Tendulkar",NA,"163","133","16","5","122.55","1","New Zealand","ODI","Christchurch","2009-03-08","",""
"129","N Kapil Dev",NA,"163","165","19","1","98.78","2","Sri Lanka","Test","Kanpur","1986-12-17","",""
"130","R Dravid",NA,"162","301","20","1","53.82","1","Zimbabwe","Test","Nagpur","2000-11-25","",""
"131","RG Sharma",NA,"162","137","20","4","118.24","1","West Indies","ODI","Mumbai (BS)","2018-10-29","",""
"132","GR Viswanath",NA,"161","297","11","1","54.20","2","Australia","Test","Bengaluru","1979-09-19","",""
"133","V Kohli",NA,"160","159","12","2","100.62","1","South Africa","ODI","Cape Town","2018-02-07","",""
"134","R Dravid",NA,"160","304","24","0","52.63","1","Bangladesh","Test","Chittagong","2004-12-17","",""
"135","SR Tendulkar",NA,"160","260","26","0","61.53","2","New Zealand","Test","Hamilton","2009-03-18","",""
